date,y,,,x1,x2,x3,x4,x5,x6,x7,x8,x9,,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,,x24,x25,x26,x27,x28,x29,x30
2012/1/4,8420,,,102.04,112.13,777,446.7987111,38.12,,2250.500171,,,,,139.6,289.6,639.6,789.6,50,559.6,,,,,,,,,,,,,,,
2012/1/5,8440,,,102.42,113.18,775,354.8933084,18.06,,2402.873379,,,,,54.6,329.6,529.6,829.6,50,549.6,,,,,,,,,,,,,,,
2012/1/6,8470,,,102.57,112.74,773,260.8396599,-13.46,,2428.761351,,,,,52.2,302.2,502.2,802.2,100,572.2,87.2,,,,59,,69,,7.9,19.9,6.7,,,,
2012/1/9,8510,,,102.57,112.74,773,282.1756332,-13.46,,2462.067351,,,,,12.8,262.8,462.8,812.8,150,582.8,,,,,,,,,,,,,,,
2012/1/10,8500,,,100.32,112.45,773,248.2645593,15.52,,2498.30171,,,,,59.2,309.2,509.2,859.2,150,629.2,,,,,,,,,,,,,,,
2012/1/11,8500,,,102.99,113.28,773,197.6815904,4.94,,2380.271396,,,,,42,292,492,842,150,612,,,,,,,,,,,,,,,
2012/1/12,8480,,,101.24,112.24,773,161.3911435,-19.4,,2372.90068,,,,,133.2,333.2,533.2,883.2,150,653.2,,,,,,,,,,,,,,,
2012/1/13,8480,,,102.22,111.26,773,187.5872397,-18.08,,2254.381603,,,,,133.2,333.2,533.2,883.2,150,653.2,87.56,,,,40,,69,,9.7,20.9,7.6,,,,
2012/1/16,8500,,,102.22,111.26,771,263.7605325,-18.08,,2267.383536,,,,,103.3,253.3,453.3,803.3,150,653.3,,,,,,,,,,,,,,,
2012/1/17,8520,,,98.67,111.2,771,329.2821541,23.24,,2287.876358,,,,,49.2,199.2,399.2,749.2,150,669.2,,,,,,,,,,,,,,,
2012/1/18,8520,,,100.35,111.53,771,284.1077137,17.3,,2287.383536,,,,,49.2,49.2,399.2,749.2,150,669.2,,,,,,,,,,,,,,,
2012/1/30,8650,,,100.35,111.53,769,491.6315045,57.3,,2354.234997,,,,,107.2,257.2,507.2,757.2,,637.2,87.84,,,,30,,69.8,,11.5,21.9,8,,,,
2012/1/31,8660,,,99.15,110.75,769,435.1042739,54.76,,2340.827246,,,,,120.2,295.2,495.2,745.2,,715.2,,,,,,,,,,,,,,,
2012/2/1,8570,,,98.94,110.98,769,425.5766896,46.74,,2251.327228,,,,,172.3,347.3,547.3,797.3,,817.3,,,,,,,,,,,,,,,
2012/2/2,8470,,,98.58,111.56,769,381.4230459,26.74,,2159.926918,,,,,253.6,403.6,628.6,878.6,,898.6,,,,,,,,,,,,,,,
2012/2/3,8420,,,96.23,112.07,769,316.6777066,28.82,,2105.627073,,,,,270.6,420.6,645.6,895.6,,915.6,,,,,,,,,,,,,,,
2012/2/6,8470,,,96.23,112.07,769,414.6070194,38.82,,2105.372638,,,,,134,384,534,784,,804,88.34,,,,50,,71.3,,10.9,22.9,10.9,,,,
2012/2/7,8380,,,97.38,115.93,769,257.5501868,30.62,,2024.732236,,,,,224.8,474.8,574.8,824.8,,894.8,,,,,,,,,,,,,,,
2012/2/8,8380,,,98.67,116.23,769,260.2797576,22.34,,2034.293115,,,,,199,449,549,799,,869,,,,,,,,,,,,,,,
2012/2/9,8400,,,98.53,117.2,769,250.2797576,27.34,,1941.42194,,,,,175.8,450.8,450.8,800.8,100,820.8,,,,,,,,,,,,,,,
