"y","y1","x1","x2","x3","x4","x5","x7","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x23","x24","x25","x26","x27","x28","x30"
"2016/1/15",4380,29.42,28.94,370,-47.12009463,-14.08,-1313.201615,312.1794872,-173.8,26.2,186.2,211.2,90,111.2,70.7,66.4,18,57,49,70.3,15.3,21,7.2,60.1,7,8.72712
"2016/1/22",4500,32.19,32.18,370,-83.91723913,-30.6,-1019.377832,312.1794872,-274.8,-34.8,60.2,95.2,75,10.2,68.4,65.9,18,48,38,64.6,15.6,21.7,7.8,60.6,7.7,8.90368
"2016/1/29",4715,33.62,34.74,375,-226.8768065,-43.4,-637.3231342,397.6495726,-256.5,-6.5,-1.5,13.5,55,33.5,65.7,60.3,15,9,7,60,14.1,21.8,7.8,51.6,7.6,9.24
"2016/2/5",4710,30.89,34.06,380,-214.9408562,-46.42,-470.3440093,397.6495726,-246.2,3.8,8.8,23.8,55,43.8,65.7,60.3,15,9,7,60,14.1,21.8,7.8,51.6,6.9,8.91
"2016/2/12",4710,29.44,33.36,380,-180.4404622,-42.46,-466.3399092,372.6495726,-246.2,3.8,8.8,23.8,55,43.8,62.5,60.3,15,9,7,60,14.1,21.8,7.8,51.6,7.3,7.6875
"2016/2/19",5075,29.64,33.01,380,-72.41137019,-34.74,-261.4894697,408.1196581,-377.8,-127.8,-142.8,-132.8,95,-127.8,63.5,59.8,15,23,37,53.9,18.4,30,16.5,79.7,7.4,6.9014
"2016/2/26",5200,32.78,35.1,380,-183.3700069,-28.68,-475.3848818,472.2222222,-298,-23,-33,-28,80,-68,69.9,67.6,20,61,63,60.8,18.1,29.6,17.5,79.8,9,7.4624
"2016/3/4",5555,35.92,38.72,385,-87.95376379,-31.5,-589.9627893,618.1623932,-420.8,-45.8,-170.8,-95.8,255,-205.8,74.3,74,30,76,74,65.4,17,28.6,15.5,69.7,8.3,7.6719
"2016/3/11",5550,38.5,40.39,390,-134.6015931,-30.72,-855.1374242,867.3076923,-90.6,234.4,419.4,484.4,135,384.4,78,78.9,36,82,79,69.2,13.2,25.2,10.1,53.5,7.7,9.52072
"2016/3/18",5710,39.44,41.2,390,-70.64338055,-30.64,-870.4833619,792.3076923,-231,94,254,324,160,184,80.7,80.7,39,82,79,69,13.7,25,9.9,54.5,11.1,9.5328
"2016/3/25",5490,39.46,40.44,390,-261.6158325,-39.93,-1133.109973,706.8376068,-144.4,280.6,205.6,365.6,340,245.6,82.86,81.4,39,82,79,79,16.6,26.3,12.2,62.1,10.6,10.1844
"2016/4/1",5520,36.79,38.67,390,-31.54772029,-25.21,-1054.780449,706.8376068,-356.7,168.3,-201.7,-61.7,410,-161.7,84.26,85.4,39,81,78,80.2,17.3,25.8,11.7,62.7,10,9.4304
"2016/4/8",5165,39.72,41.94,390,-85.21941009,-14.73,-1401.233121,714.1025641,-126.9,323.1,-76.9,148.1,410,23.1,84.47,86.3,39,81,77,79.4,18.2,25.8,12,65.3,8,9.8136
"2016/4/15",5265,40.36,43.1,390,35.60277771,-5.03,-1313.329711,820.9401709,-169.2,230.8,-124.2,40.8,305,-4.2,84.64,86.5,39,81,77,80.4,15.3,24.1,10.5,54.9,7.4,10.14
"2016/4/22",5340,43.73,45.11,390,53.7948881,-3.61,-1192.694395,885.042735,-192.8,182.2,-212.8,-12.8,370,-7.8,85.24,88.4,39,80,76,81.2,15.2,24,9.3,51.6,7.2,10.6625
"2016/4/29",5210,45.92,48.13,390,91.76513055,-22.17,-1297.086371,1009.615385,-59.6,140.4,-134.6,90.4,395,-9.6,84.8,88.4,41,79,72,79.4,15.6,22.9,10.5,53.2,7.2,11.024
"2016/5/6",5120,44.66,45.37,390,13.14730965,-15.03,-1428.858929,941.8803419,88.7,238.7,-121.3,138.7,450,98.7,84.7,88.2,41,78,71,79.4,18,24,13.1,60.7,6.3,10.42056
"2016/5/13",5005,46.21,47.83,390,-126.2733761,-21.73,-1503.978787,813.6752137,115.4,265.4,-24.6,205.4,460,165.4,84.5,88.2,41,78,71,79.3,17.6,23.5,13,61.3,4.7,9.8865
"2016/5/20",5000,47.75,48.72,390,-181.339778,-25.69,-1488.306629,863.6752137,121.4,271.4,21.4,211.4,320,151.4,85.3,88.2,41,76,69,79.7,17.3,23.4,14.4,61,7.7,9.5424
"2016/5/27",4875,49.33,49.32,390,-203.6676678,-24.09,-1289.664932,735.4700855,74.1,224.1,-110.9,204.1,470,144.1,85.1,87.9,37,76,69,76.1,17.9,24.2,15.9,66.1,8.7,10.3213
"2016/6/3",4895,48.26,49.64,390,-220.3850329,-18.29,-1074.976675,696.3675214,-93.7,156.3,-233.7,141.3,400,26.3,83.7,85.3,37,76,69,78.9,17.1,24.4,14,63.5,8.1,9.42816
"2016/6/10",4920,49.07,50.54,390,-274.9964498,-34.83,-993.1555878,734.1025641,-82.3,117.7,-152.3,137.7,320,47.7,83,84.3,37,74,68,78.5,17,23.5,14,64.5,9.1,9.2598
"2016/6/17",4893,47.98,49.17,400,-211.2331115,-17.95,-1060.178358,695.6410256,-105.22,64.78,-165.22,144.78,365,29.78,83.1,85.6,37,73,68,75.7,16.5,23.1,13.1,63.4,10.7,8.95968
"2016/6/24",5010,47.64,48.41,400,-236.4924443,-15.87,-1135.845154,712.7350427,-159.4,-59.4,-144.4,170.6,280,-24.4,82.3,85,37,74,71,74.6,16.5,23,11.8,62.5,10.8,9.3708
"2016/7/1",5160,48.99,50.35,400,-203.9823047,-26.53,-1197.808228,829.5726496,-149.9,-74.9,-104.9,145.1,200,-79.9,82.5,85,39,74,71,76.3,14.2,22.8,10.8,56.5,9.9,8.81038
"2016/7/8",5085,45.41,46.76,415,-347.9658183,-27.21,-1351.349201,893.6752137,62.4,112.4,192.4,402.4,190,192.4,82.5,85,39,75,72,76.3,12.6,20.3,9.5,47.6,8.2,8.58
