"date","y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x24","x25","x26","x27","x28","x29","x30"
"2019/1/4",5160,47.96,57.06,570,345.226391,29.14,1300,240.8059513,0.714019562,0.997887993,-219.8275862,213.8,68.8,-81.2,478.8,490,688.8,84.8,75.7,82.3,48.8,76,65,4.7,15.6,16.7,13.1,620,78.5,15.1
"2019/1/11",5115,51.59,60.48,565,28.2960007,4.46,1227,233.8785461,0.72892408,0.982399944,-155.1724138,175.625,275.625,-154.375,395.625,480,680.625,83.9,75.1,81.8,48.8,72,57,0.2,12.5,13.5,6.7,624,83.4,14
"2019/1/18",4985,53.8,62.7,570,85.49305354,3.8,1077.9,-269.6723359,0.760596181,0.940863811,-155.1724138,172.15,322.15,-137.85,442.15,470,677.15,81.9,71.7,78,47,66,50,1.4,11.1,13.8,6.5,606,90.2,13.5
"2019/1/25",5070,53.69,61.64,565,246.8432191,4.84,1166.4,-573.1861432,0.769911504,0.962687881,60.34482759,218.4,378.4,108.4,628.4,460,698.4,78.3,62.9,71.7,29,17,9,0,9.2,13.8,3.8,618,89.3,14.8
"2019/2/1",5110,56.34,62.75,570,364.039203,26.26,1198.4,-682.8390164,0.800652073,0.957053665,60.34482759,98.125,323.125,-11.875,508.125,460,578.125,74,62.1,67.5,29,10,5,2,11.1,18,5.5,627,92.4,17.8
"2019/2/15",5010,55.59,66.25,570,-51.39350257,20.04,1069.9,-1315.869449,0.836050303,0.937384965,-11.20689655,341.75,466.75,216.75,736.75,470,776.75,78.6,62.1,73,29,20,34,5.9,14.2,27.2,11.6,608,115.4,16.5
"2019/2/22",4980,57.26,67.12,575,-17.15121754,12.12,996.5,-1306.9003,0.805309735,0.942975818,-118.9655172,201.15,401.15,201.15,601.15,450,726.15,85.4,71.7,82.7,29,50,45,7.6,16.8,27.8,14.8,610,119.1,15.4
"2019/3/1",5125,55.8,65.07,600,18.89523609,9.48,1086.8,-839.1148455,0.762459245,0.961103876,-205.1724138,18.375,393.375,-211.625,223.375,590,418.375,86.6,75.7,84.5,84,81,75,6,18,28.6,15.4,629,120.6,15.4
"2019/3/8",5230,56.07,65.74,640,251.2154509,24.1,1060.3,-313.5992997,0.759664648,0.957935865,96.55172414,145.1,345.1,250.1,415.1,215,510.1,88.5,80.1,86.7,54,87,84,5.2,11.5,22.9,9.8,650,131.5,14.8
"2019/3/15",5130,58.52,67.16,628,195.7404186,17.02,1036.5,-578.6842069,0.770843037,0.950825443,95.68965517,93.375,368.375,338.375,538.375,250,571.375,90.5,83.6,88.9,60,89,85,6.4,14.2,24.2,10.3,641,130.1,14.6
"2019/3/22",5110,59.04,67.03,625,444.5353698,43.32,1014.7,-699.4251233,0.837447601,0.966489493,131.0344828,89.2,489.2,604.2,734.2,135,579.2,90.5,83.9,89.3,60,89,85,6.6,13.4,23.3,8.9,639,135.6,15.2
"2019/3/29",4815,60.14,68.39,624,517.5036273,42.66,722.8,-602.822416,0.850954821,0.954521454,202.5862069,118.975,593.975,608.975,593.975,95,553.975,92.9,86.1,92.1,60,89,85,7.8,13.3,22.5,9.1,605,135.7,15
"2019/4/15",4700,63.4,71.18,634,680.5665359,50.12,572.6,-753.2289744,0.792081975,0.909887712,544.0265487,172,672,667,547,170,621,92.3,84.5,90,60,89,80,6.6,12.5,22.4,8.6,598,143.5,14.5
"2019/4/26",4467,63.3,72.15,618,1120.246916,102.34,337.6,-692.6664933,0.714764788,0.919567743,300.6637168,94.755,494.755,479.755,269.755,50,634.755,93.2,85.5,91.2,60,85,78,8.8,16,24,13.8,569,140.9,14.4
"2019/5/5",4535,61.94,70.85,620,1365.25822,128.74,402.4,-535.8240605,0.69958081,0.957935865,278.539823,12.775,337.775,172.775,-27.225,225,457.775,93.8,85.7,91.7,60,85,70,11,17.2,26.5,13.5,583,135,14.4
"2019/5/10",4525,61.66,70.62,620,1392.678034,116.38,394.5,-804.5949584,0.69958081,0.927663769,237.1681416,-101.625,-101.625,-121.625,-226.625,320,298.375,91.5,84.5,90,60,76,65,12.3,18.3,26.9,13.3,569,136.1,14.8
"2019/5/17",4240,62.76,72.21,620,1022.437906,127.4,108,-1149.969066,0.69958081,0.889471646,109.7345133,94.1,64.1,109.1,-145.9,305,704.1,89.9,81.7,87.9,60,72,65,14,19.6,26.7,16.2,525,133.9,14.9
"2019/5/24",4315,58.63,68.69,616,390.692154,73.16,187,-1263.043072,0.715416861,0.916223732,140.7079646,9.225,109.225,39.225,-90.775,530,519.225,87.9,80.5,86.3,57.4,71,65,16.3,20.4,26.2,16.5,536,131.1,14.4
"2019/5/31",4360,53.5,64.49,602,535.0887128,61.36,280.8,-589.6269711,0.700046577,0.906543701,440.7079646,-40.05,309.95,99.95,74.95,325,239.95,88.5,80.8,86.7,57.4,79,69,12.6,12.2,20.8,7.3,546,133.8,14.3
"2019/6/5",4275,51.68,60.63,595,670.905701,68.04,221.85,-535.0592545,0.643688868,0.890985251,352.2123894,-8.975,266.025,191.025,66.025,175,101.025,89.5,81,87.1,57.4,74,69,13.4,13.6,21.2,9.1,528,133.3,14.3
